"skill_name","skill_count","avg_salary"
"pyspark","2","208172"
"bitbucket","2","189155"
"couchbase","1","160515"
"watson","1","160515"
"datarobot","1","155486"
"gitlab","3","154500"
"swift","2","153750"
"jupyter","3","152777"
"pandas","9","151821"
"elasticsearch","1","145000"
"golang","1","145000"
"numpy","5","143513"
"databricks","10","141907"
"linux","2","136508"
"kubernetes","2","132500"
"atlassian","5","131162"
"twilio","1","127000"
"airflow","5","126103"
"scikit-learn","2","125781"
"jenkins","3","125436"
"notion","1","125000"
"scala","5","124903"
"postgresql","4","123879"
"gcp","3","122500"
"microstrategy","2","121619"
"crystal","5","120100"
"go","27","115320"
"confluence","11","114210"
"db2","4","114072"
"hadoop","22","113193"
"snowflake","37","112948"
"git","5","112000"
"ibm cloud","1","111500"
"azure","34","111225"
"bigquery","13","109654"
"aws","32","108317"
"shell","3","108200"
"unix","3","107667"
"java","17","106906"
"ssis","12","106683"
"jira","20","104918"
"oracle","37","104534"
"dax","10","104500"
"looker","49","103795"
"sap","8","102920"
"nosql","13","101414"
"python","236","101397"
"r","148","100499"
"redshift","16","99936"
"qlik","13","99631"
"tableau","230","99288"
"ssrs","14","99171"
"spark","13","99077"
"c++","11","98958"
"c","9","98938"
"sas","126","98902"
"sql server","35","97786"
"javascript","20","97587"
"rust","1","97500"
"power bi","110","97431"
"sql","398","97237"
"phoenix","4","97230"
"flow","28","97200"
"bash","6","96558"
"t-sql","9","96365"
"visio","10","95842"
"unity","1","95500"
"powershell","4","95275"
"mysql","9","95224"
"php","1","95000"
"mariadb","1","95000"
"matlab","5","94200"
"alteryx","17","94145"
"cognos","4","93264"
"spss","24","92170"
"pascal","1","92000"
"github","5","91580"
"outlook","13","90077"
"clickup","1","90000"
"vb.net","1","90000"
"sqlite","3","89167"
"vba","24","88783"
"powerpoint","58","88701"
"microsoft teams","4","87854"
"excel","256","87288"
"c#","10","86540"
"html","8","86438"
"sheets","32","86088"
"ms access","6","85519"
"chef","1","85000"
"node.js","1","83500"
"arch","2","82750"
"word","48","82576"
"spring","2","82000"
"spreadsheet","6","81892"
"sharepoint","18","81634"
"webex","2","81250"
"zoom","1","80740"
"terminal","4","80625"
"express","4","80000"
"plotly","4","78750"
"seaborn","3","77500"
"planner","5","76800"
"matplotlib","5","76301"
"ggplot2","1","75000"
"windows","6","74124"
"erlang","1","72500"
"julia","2","71148"
"colocation","1","67500"
"sass","1","67500"
"mongodb","6","66020"
"smartsheet","5","63000"
"visual basic","2","62500"
"ruby","4","61780"
"css","1","52500"
"ruby on rails","1","51059"
"wire","1","42500"
